,width,longitude,type,average_people_value
122,55.75909245,37.6327934,apartments,500.0
123,55.7602142,37.63370085,commercial,1000.0
124,55.759778350000005,37.63446125,university,1000.0
125,55.7611499,37.63454965,apartments,500.0
126,55.7610528,37.63841035,commercial,1000.0
127,55.760553099999996,37.631055,office,1000.0
128,55.76116465,37.63016125,office,1000.0
129,55.74783105,37.610225,apartments,500.0
130,55.7477444,37.60940745,apartments,500.0
131,55.747436199999996,37.6081423,apartments,500.0
132,55.74642475,37.6041145,office,1000.0
133,55.7502817,37.60560425,office,1000.0
134,55.7542849,37.597884750000006,apartments,500.0
135,55.757304649999995,37.6014237,apartments,500.0
136,55.7585864,37.603233599999996,apartments,500.0
137,55.7585275,37.60388225,apartments,500.0
138,55.75874615,37.6040827,apartments,500.0
139,55.7587728,37.60472445,office,1000.0
140,55.76014855,37.6036603,apartments,500.0
141,55.7610614,37.59951745,apartments,500.0
142,55.761294199999995,37.597067499999994,apartments,500.0
143,55.760733900000005,37.596136,apartments,500.0
144,55.760637200000005,37.598726,office,1000.0
145,55.763210599999994,37.597836599999994,apartments,500.0
146,55.7625136,37.59887575,apartments,500.0
147,55.76238155,37.6004394,office,1000.0
148,55.76318525,37.60048915,apartments,500.0
149,55.7462352,37.59681335,apartments,500.0
150,55.7472923,37.5966874,apartments,500.0
151,55.745112750000004,37.5981134,apartments,500.0
152,55.7433117,37.598258799999996,office,1000.0
153,55.74308325,37.59963395,apartments,500.0
154,55.7432244,37.59983585,apartments,500.0
155,55.74558235,37.595545900000005,apartments,500.0
156,55.748906250000005,37.598035800000005,apartments,500.0
157,55.74934685,37.5982092,commercial,1000.0
158,55.748931600000006,37.595634000000004,apartments,500.0
159,55.74915245,37.59693875,apartments,500.0
160,55.7489219,37.59750235,apartments,500.0
161,55.7484415,37.597953849999996,apartments,500.0
162,55.747752750000004,37.5965628,apartments,500.0
163,55.74825075,37.5960633,apartments,500.0
164,55.75017785,37.59558055,apartments,500.0
165,55.74979785,37.596644850000004,apartments,500.0
166,55.74860525,37.598526899999996,apartments,500.0
167,55.7489402,37.599239850000004,apartments,500.0
168,55.7503381,37.59678385,apartments,500.0
169,55.749570950000006,37.59532125,apartments,500.0
170,55.75169085,37.59929665,commercial,1000.0
171,55.7499386,37.598184950000004,office,1000.0
172,55.75030635,37.5984455,apartments,500.0
173,55.7502324,37.599440099999995,commercial,1000.0
174,55.750577899999996,37.5983528,apartments,500.0
175,55.747971,37.5969719,apartments,500.0
176,55.7476999,37.598777,commercial,1000.0
177,55.7509003,37.596486999999996,apartments,500.0
178,55.751025049999996,37.59688405,apartments,500.0
179,55.753282150000004,37.59657775,apartments,500.0
180,55.755254050000005,37.5954915,apartments,500.0
181,55.75506305,37.598263700000004,apartments,500.0
182,55.755277050000004,37.59763235,apartments,500.0
183,55.7715154,37.637453,apartments,500.0
184,55.770752,37.63694705,apartments,500.0
185,55.77015575,37.64029035,apartments,500.0
186,55.769871800000004,37.63877145,apartments,500.0
187,55.7700964,37.6392268,apartments,500.0
188,55.770826650000004,37.637578149999996,apartments,500.0
189,55.76986345,37.64173515,commercial,1000.0
190,55.7696068,37.6399818,apartments,500.0
191,55.76983585000001,37.64039105,apartments,500.0
192,55.769983249999996,37.63972765,apartments,500.0
193,55.77137835,37.64181135,commercial,1000.0
194,55.771132,37.6396022,university,1000.0
195,55.7688997,37.6382454,apartments,500.0
196,55.76974825,37.6368167,apartments,500.0
197,55.769895649999995,37.6374018,apartments,500.0
198,55.76995875,37.63676085,apartments,500.0
199,55.7693806,37.63841805,office,1000.0
200,55.769020999999995,37.637225650000005,apartments,500.0
201,55.7689604,37.63654335,apartments,500.0
202,55.76933205,37.6394691,apartments,500.0
203,55.76871125,37.63938175,apartments,500.0
204,55.768825,37.64031835,apartments,500.0
205,55.7680824,37.64125919999999,apartments,500.0
206,55.7681908,37.6415427,apartments,500.0
208,55.76851775,37.634338650000004,commercial,1000.0
209,55.7700168,37.634915899999996,apartments,500.0
210,55.77025265,37.63507525,apartments,500.0
211,55.7701807,37.6360081,apartments,500.0
212,55.7699453,37.6362971,apartments,500.0
213,55.7688624,37.63389335,commercial,1000.0
