,width,longitude,type
0,55.74792575,37.60940375,apartments
1,55.75752035,37.61012235,office
2,55.74960365,37.5995452,apartments
3,55.7497921,37.598805549999994,apartments
4,55.748492850000005,37.599258000000006,apartments
5,55.76766455,37.5992405,apartments
6,55.7672178,37.6000798,apartments
7,55.7654268,37.59984025,apartments
8,55.7647148,37.6016761,apartments
9,55.7561603,37.6113491,office
10,55.75595295,37.61028175,office
11,55.75650855,37.6119528,office
12,55.75667625,37.6101688,office
13,55.7550815,37.609727,university
14,55.757406950000004,37.6110883,office
15,55.757151,37.609809299999995,office
16,55.7571224,37.605418150000006,office
17,55.759426649999995,37.60618425,apartments
18,55.758728149999996,37.60712225,apartments
19,55.757679949999996,37.6067088,apartments
20,55.75328395,37.60521905,university
21,55.75401365,37.6046827,apartments
22,55.75369695,37.60553725,apartments
23,55.75455935,37.6056294,apartments
24,55.75477995,37.60573705,apartments
25,55.7547407,37.603463500000004,university
26,55.7555298,37.605793750000004,office
27,55.7557375,37.60330745,apartments
28,55.7557325,37.60392985,apartments
29,55.754113450000006,37.60731775,apartments
30,55.75474775,37.6090198,commercial
31,55.7541799,37.6085868,commercial
32,55.754239999999996,37.60803965,apartments
33,55.753542949999996,37.60762750000001,apartments
34,55.75452645,37.6094602,commercial
35,55.75312235,37.610276049999996,commercial
36,55.753320349999996,37.6063465,office
37,55.75540875,37.5992002,university
38,55.75625825,37.59856715,apartments
39,55.75808035,37.60897395,office
40,55.760249900000005,37.6091118,office
41,55.75949215,37.60985075,office
42,55.7600063,37.608150800000004,apartments
43,55.7596497,37.61061855,apartments
44,55.7583126,37.60927135,office
45,55.75930595,37.61038485,office
46,55.76161225,37.61556995,apartments
47,55.76122985,37.61507145,office
48,55.76449385,37.6080263,apartments
49,55.76340975,37.60790865,apartments
50,55.7633102,37.605839,apartments
51,55.762327299999995,37.60786175,apartments
52,55.76434355,37.6153913,apartments
53,55.764124550000005,37.6154234,apartments
54,55.765189649999996,37.618644,commercial
55,55.76603145,37.616327999999996,commercial
56,55.7634447,37.61476105,apartments
57,55.7644892,37.616336700000005,apartments
58,55.763331750000006,37.6140858,apartments
59,55.76300755,37.622509550000004,university
60,55.769904600000004,37.61294195,office
61,55.7704917,37.61346519999999,commercial
62,55.76933045,37.61530495,commercial
63,55.769262299999994,37.61709245,apartments
64,55.76879905,37.615654,apartments
65,55.76887295,37.6163167,apartments
66,55.770793350000005,37.612987700000005,office
67,55.7711081,37.6153803,apartments
68,55.77059975,37.61585125,apartments
69,55.77053545,37.61647425,apartments
70,55.770023699999996,37.615865400000004,commercial
71,55.7695151,37.6169429,apartments
72,55.7689478,37.6180823,apartments
73,55.764366249999995,37.64100675,commercial
74,55.76550385,37.6436626,apartments
75,55.76604235,37.6416213,commercial
76,55.7665372,37.641861899999995,commercial
77,55.76289355,37.643641450000004,apartments
78,55.76776795,37.6366374,commercial
79,55.768191200000004,37.635324100000005,apartments
80,55.76477145,37.63743735,office
81,55.7643213,37.6384705,apartments
82,55.76297085,37.6450582,apartments
83,55.76484685,37.6447959,apartments
84,55.7664677,37.640657250000004,apartments
85,55.76808715,37.6283648,apartments
86,55.7690192,37.62844425,apartments
87,55.7677468,37.62683885,apartments
88,55.7679112,37.62929915,office
89,55.76712725,37.628950700000004,apartments
90,55.7684653,37.62708995,apartments
91,55.7677532,37.62567645,apartments
92,55.76774655,37.62622835,apartments
93,55.767361199999996,37.6284584,apartments
94,55.767772550000004,37.62494315,apartments
95,55.76699495,37.624869849999996,apartments
96,55.7674808,37.62625405,apartments
97,55.7669058,37.6300298,apartments
98,55.768142999999995,37.62752945,office
99,55.76721805,37.63034125,apartments
100,55.770048,37.63056395,apartments
101,55.770419149999995,37.62812855,apartments
102,55.7701531,37.62833245,apartments
103,55.7703686,37.63430755,apartments
104,55.770123049999995,37.63413465,apartments
105,55.7713785,37.631187600000004,apartments
106,55.771737,37.606819099999996,university
107,55.77186025,37.6059107,apartments
108,55.7590833,37.595891550000005,apartments
109,55.7584513,37.59799785,apartments
110,55.75690805,37.5980962,apartments
111,55.7598382,37.596035400000005,apartments
112,55.75665225,37.59735325,office
113,55.76544665,37.597515200000004,apartments
114,55.7641562,37.59752829999999,apartments
115,55.76369095,37.59827045,apartments
116,55.7646795,37.59773975,apartments
117,55.7658967,37.59740465,commercial
118,55.765333,37.5982948,apartments
119,55.76459665,37.59583685,apartments
120,55.76393655,37.596733549999996,apartments
121,55.7598347,37.6331289,apartments
122,55.75909245,37.6327934,apartments
123,55.7602142,37.63370085,commercial
124,55.759778350000005,37.63446125,university
125,55.7611499,37.63454965,apartments
126,55.7610528,37.63841035,commercial
127,55.760553099999996,37.631055,office
128,55.76116465,37.63016125,office
129,55.74783105,37.610225,apartments
130,55.7477444,37.60940745,apartments
131,55.747436199999996,37.6081423,apartments
132,55.74642475,37.6041145,office
133,55.7502817,37.60560425,office
134,55.7542849,37.597884750000006,apartments
135,55.757304649999995,37.6014237,apartments
136,55.7585864,37.603233599999996,apartments
137,55.7585275,37.60388225,apartments
138,55.75874615,37.6040827,apartments
139,55.7587728,37.60472445,office
140,55.76014855,37.6036603,apartments
141,55.7610614,37.59951745,apartments
142,55.761294199999995,37.597067499999994,apartments
143,55.760733900000005,37.596136,apartments
144,55.760637200000005,37.598726,office
145,55.763210599999994,37.597836599999994,apartments
146,55.7625136,37.59887575,apartments
147,55.76238155,37.6004394,office
148,55.76318525,37.60048915,apartments
149,55.7462352,37.59681335,apartments
150,55.7472923,37.5966874,apartments
151,55.745112750000004,37.5981134,apartments
152,55.7433117,37.598258799999996,office
153,55.74308325,37.59963395,apartments
154,55.7432244,37.59983585,apartments
155,55.74558235,37.595545900000005,apartments
156,55.748906250000005,37.598035800000005,apartments
157,55.74934685,37.5982092,commercial
158,55.748931600000006,37.595634000000004,apartments
159,55.74915245,37.59693875,apartments
160,55.7489219,37.59750235,apartments
161,55.7484415,37.597953849999996,apartments
162,55.747752750000004,37.5965628,apartments
163,55.74825075,37.5960633,apartments
164,55.75017785,37.59558055,apartments
165,55.74979785,37.596644850000004,apartments
166,55.74860525,37.598526899999996,apartments
167,55.7489402,37.599239850000004,apartments
168,55.7503381,37.59678385,apartments
169,55.749570950000006,37.59532125,apartments
170,55.75169085,37.59929665,commercial
171,55.7499386,37.598184950000004,office
172,55.75030635,37.5984455,apartments
173,55.7502324,37.599440099999995,commercial
174,55.750577899999996,37.5983528,apartments
175,55.747971,37.5969719,apartments
176,55.7476999,37.598777,commercial
177,55.7509003,37.596486999999996,apartments
178,55.751025049999996,37.59688405,apartments
179,55.753282150000004,37.59657775,apartments
180,55.755254050000005,37.5954915,apartments
181,55.75506305,37.598263700000004,apartments
182,55.755277050000004,37.59763235,apartments
183,55.7715154,37.637453,apartments
184,55.770752,37.63694705,apartments
185,55.77015575,37.64029035,apartments
186,55.769871800000004,37.63877145,apartments
187,55.7700964,37.6392268,apartments
188,55.770826650000004,37.637578149999996,apartments
189,55.76986345,37.64173515,commercial
190,55.7696068,37.6399818,apartments
191,55.76983585000001,37.64039105,apartments
192,55.769983249999996,37.63972765,apartments
193,55.77137835,37.64181135,commercial
194,55.771132,37.6396022,university
195,55.7688997,37.6382454,apartments
196,55.76974825,37.6368167,apartments
197,55.769895649999995,37.6374018,apartments
